Brand,Description.,Category,Address,Contact Number,Website,Social Media
UIINKfvkingbrand,Brand lokal yang menawarkan produk pakaian dengan desain kasual dan sporty dengan kualitas tinggi.,"Pakaian,Aksesoris","Uiink Fvcking Brand, Metro Dalas plaza, Jl. Dalem Kaum, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251",+62 819-1000-4588,-,https://www.instagram.com/uiinkfvkingbrand/
JackArmy,Brand lokal yang menawarkan desain trendy dan energik yang sangat cocok untuk anak muda.,Pakaian,"Jl. Lengkong Kecil No.26, Paledang, Kec. Lengkong, Kota Bandung, Jawa Barat 40261",+62 821-9719-4669,-,https://www.instagram.com/jackarmy.official/
Epidemic Streetwear,Brand lokal yang menawarkan desain untuk sehari-hari yang sangat stylish dan trendy dengan kualitas yang nyaman digunakan.,Pakaian,"Jl. Dewi Sartika No.27, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251",,https://epidemicstreetwear.com/,https://www.instagram.com/epidemicstreetwear
Claudia Cotton Velvet,Brand lokal yang mneawaran desain untuk Kain piyama yang modis dari bahan kain bludru.,"Piyama,Pakaian","Jl. Jend. Sudirman No.39, Karanganyar, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40181",+62 812-6286-2846,-,@claudiacottonvelvet
Gummo,Brand kaos distro lokal dengan desain yang autentik dan nyaman dipakai. Cocok untuk berpergian santai.,Pakaian,"Jl. Sultan Agung No.13, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",+62 224-2652-16,-,@gummo.ltd
Monel Boutique,Brand pakaian lokal yang menawarkan pakaian elegan dengan tampilan yang bersinar.,Pakaian,"Jl. Buah Batu No.87, Turangga, Kec. Lengkong, Kota Bandung, Jawa Barat 40262",,monelboutique.id,https://www.instagram.com/monelboutique/
Azameera,Brand pakaian yang menawarkan pakaian muslim dengan kualitas bahan yang tinggi.,Pakaian,"Jl. Reog VI No.1, Turangga, Kec. Lengkong, Kota Bandung, Jawa Barat 40264",,,https://www.instagram.com/azameera.idn/
Prapatan Rebel,"Brand ini cocok untuk pria dan wanita yang menyukai warna hitam, pasalnya distro ini menjual pakaian dengan dominasi warna hitam yang keren serta unik.",Pakaian,"Jl. Dewi Sartika Nomor 19a, Balonggede, Kec. Regol, Kota Bandung.",+62 877-7366-9731,prapatan.co.id,https://www.instagram.com/prapatan_rebel_bandung/
Froneta,"Brand pakaian dan celana wanita yang menyediakan produk dengan desain feminin modern, cocok untuk berbagai acara kasual maupun formal, populer di kalangan wanita muda.","Pakaian,Celana","Jl. Jend. Ahmad Yani No.25, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40181",+62 824-3759-16,fronetawear.com,https://www.instagram.com/froneta_wear
Anterium,"Brand sepatu terkini dengan varian modis, tersedia segala ukurun untuk segala kalangan.",Sepatu,"Jl. K.H. Ahmad Dahlan No.25, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat 40262",+62 822-6959-11,anterboots.co.id,https://www.instagram.com/anter_boots
Flix Co,Celana trendy segala jenis dengan warna gelap hingga terang yang mana didesain untuk segala kondisi cuaca bandung.,Celana,"Jl. Batu Caneng No.67, Turangga, Kec. Lengkong, Kota Bandung, Jawa Barat 40262",+62 823-0989-23,flixco.com,https://www.instagram.com/flixco
Personification,"Pakaian trendy masa kini yang menekankan aspek kesehatan mental, didesain dengan mengutamakan kenyamanan dan juga struktur bahan tinggi dengan warna yang beragam.",Pakaian,"Jl. Cihapit No.20, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114",+62 823-0989-23,personwear.co.id,https://www.instagram.com/personification_wear
